"Class","Library","Total Instances","Total Size","Total Dart Heap Size","Total External Size","New Space Instances","New Space Size","New Space Dart Heap Size","New Space External Size","Old Space Instances","Old Space Size","Old Space Dart Heap Size","Old Space External Size"
_ValueWrapper,package:firebase_auth_platform_interface/src/method_channel/method_channel_firebase_auth.dart,1,16,16,0,0,0,0,0,1,16,16,0
PigeonUserDetails,package:firebase_auth_platform_interface/src/pigeon/messages.pigeon.dart,1,16,16,0,0,0,0,0,1,16,16,0
FirebaseCoreHostApi,package:firebase_core_platform_interface/src/pigeon/messages.pigeon.dart,1,16,16,0,0,0,0,0,1,16,16,0
_CurrencyThousandsFormatter,package:spendant/src/screens/budget_screen.dart,1,16,16,0,0,0,0,0,1,16,16,0
_CurrencyThousandsFormatter,package:spendant/src/screens/new_expense_screen.dart,1,16,16,0,0,0,0,0,1,16,16,0
_GoalAmountFormatter,package:spendant/src/screens/set_goal_screen.dart,1,16,16,0,0,0,0,0,1,16,16,0
DotEnv,package:flutter_dotenv/src/dotenv.dart,1,16,16,0,0,0,0,0,1,16,16,0
Parser,package:flutter_dotenv/src/parser.dart,1,16,16,0,0,0,0,0,1,16,16,0
FlutterLocalNotificationsPlugin,package:flutter_local_notifications/src/flutter_local_notifications_plugin.dart,1,16,16,0,0,0,0,0,1,16,16,0
DrawableResourceAndroidBitmap,package:flutter_local_notifications/src/platform_specifics/android/bitmap.dart,1,16,16,0,0,0,0,0,1,16,16,0
DefaultStyleInformation,package:flutter_local_notifications/src/platform_specifics/android/styles/default_style_information.dart,1,16,16,0,0,0,0,0,1,16,16,0
Svg,package:flutter_svg/svg.dart,1,16,16,0,0,0,0,0,1,16,16,0
AlreadySubscribedException,package:geolocator_platform_interface/src/errors/already_subscribed_exception.dart,1,16,16,0,0,0,0,0,1,16,16,0
HomeScreen,package:spendant/src/screens/home_screen.dart,1,16,16,0,0,0,0,0,1,16,16,0
BackendManager,package:hive/src/backend/vm/backend_manager.dart,1,16,16,0,0,0,0,0,1,16,16,0
IOSAuthMessages,package:local_auth_darwin/types/auth_messages_ios.dart,1,16,16,0,0,0,0,0,1,16,16,0
WhitespaceCharPredicate,package:petitparser/src/parser/character/predicate/whitespace.dart,1,16,16,0,0,0,0,0,1,16,16,0
ExpenseAnalyticsRepository,package:spendant/src/repositories/expense_analytics_repository.dart,1,16,16,0,0,0,0,0,1,16,16,0
AppAnalyticsService,package:spendant/src/services/app_analytics_service.dart,1,16,16,0,0,0,0,0,1,16,16,0
CloudSyncService,package:spendant/src/services/cloud_sync_service.dart,1,16,16,0,1,16,16,0,0,0,0,0
DefaultConnectivityService,package:spendant/src/services/connectivity_service.dart,1,16,16,0,0,0,0,0,1,16,16,0
PineconeEmbeddingService,package:spendant/src/services/embedding_service.dart,1,16,16,0,0,0,0,0,1,16,16,0
ExpenseLocationService,package:spendant/src/services/expense_location_service.dart,1,16,16,0,0,0,0,0,1,16,16,0
HabitFixerMonitorService,package:spendant/src/services/habit_fixer_monitor_service.dart,1,16,16,0,0,0,0,0,1,16,16,0
LocalStorageService,package:spendant/src/services/local_storage_service.dart,1,16,16,0,1,16,16,0,0,0,0,0
HttpPineconeRepository,package:spendant/src/services/pinecone_repository.dart,1,16,16,0,0,0,0,0,1,16,16,0
_NamedLock,package:sqflite_common/src/factory_mixin.dart,1,16,16,0,0,0,0,0,1,16,16,0
ReentrantLock,package:synchronized/src/reentrant_lock.dart,1,16,16,0,0,0,0,0,1,16,16,0
UnicodeGlyphSet,package:term_glyph/src/generated/unicode_glyph_set.dart,1,16,16,0,0,0,0,0,1,16,16,0
CryptoRNG,package:uuid/rng.dart,1,16,16,0,0,0,0,0,1,16,16,0
Uuid,package:uuid/uuid.dart,1,16,16,0,0,0,0,0,1,16,16,0
UuidV4,package:uuid/v4.dart,1,16,16,0,1,16,16,0,0,0,0,0
_DefaultPictureFactory,package:vector_graphics/src/listener.dart,1,16,16,0,0,0,0,0,1,16,16,0
DecodeResponse,package:vector_graphics_codec/vector_graphics_codec.dart,1,16,16,0,0,0,0,0,1,16,16,0
VectorGraphicsCodec,package:vector_graphics_codec/vector_graphics_codec.dart,1,16,16,0,0,0,0,0,1,16,16,0
CloseCommand,package:vector_graphics_compiler/src/geometry/path.dart,1,16,16,0,0,0,0,0,1,16,16,0
Fill,package:vector_graphics_compiler/src/paint.dart,1,16,16,0,0,0,0,0,1,16,16,0
Workmanager,package:workmanager/src/workmanager.dart,1,16,16,0,0,0,0,0,1,16,16,0
XmlDefaultEntityMapping,package:xml/src/xml/entities/default_mapping.dart,1,16,16,0,0,0,0,0,1,16,16,0
LocationServiceDisabledException,package:geolocator_platform_interface/src/errors/location_service_disabled_exception.dart,1,16,16,0,0,0,0,0,1,16,16,0
