"Class","Library","Total Instances","Total Size","Total Dart Heap Size","Total External Size","New Space Instances","New Space Size","New Space Dart Heap Size","New Space External Size","Old Space Instances","Old Space Size","Old Space Dart Heap Size","Old Space External Size"
Weekday,package:firstfloor_calendar/src/semantic/calendar_enums.dart,7,224,224,0,0,0,0,0,7,224,224,0
RecurrenceFrequency,package:firstfloor_calendar/src/semantic/calendar_enums.dart,7,224,224,0,0,0,0,0,7,224,224,0
ParticipationStatus,package:firstfloor_calendar/src/semantic/calendar_enums.dart,7,224,224,0,0,0,0,0,7,224,224,0
ActionCodeInfoOperation,package:firebase_auth_platform_interface/src/pigeon/messages.pigeon.dart,7,224,224,0,0,0,0,0,7,224,224,0
ConnectivityResult,package:connectivity_plus_platform_interface/src/enums.dart,7,224,224,0,0,0,0,0,7,224,224,0
BasicLock,package:synchronized/src/basic_lock.dart,12,192,192,0,0,0,0,0,12,192,192,0
SqfliteOpenDatabaseOptions,package:sqflite_common/src/open_options.dart,4,192,192,0,0,0,0,0,4,192,192,0
SqfliteDatabaseBase,package:sqflite_common/src/database_mixin.dart,4,192,192,0,0,0,0,0,4,192,192,0
LocalStorageService,package:spendant/src/services/local_storage_service.dart,12,192,192,0,12,192,192,0,0,0,0,0
KeyTransaction,package:hive/src/box/keystore.dart,6,192,192,0,6,192,192,0,0,0,0,0
BinaryWriterImpl,package:hive/src/binary/binary_writer_impl.dart,6,192,192,0,6,192,192,0,0,0,0,0
AntAsset,package:spendant/src/widgets/auth_chrome.dart,6,192,192,0,0,0,0,0,6,192,192,0
_ExpenseField,package:spendant/src/screens/new_expense_screen.dart,6,192,192,0,4,128,128,0,2,64,64,0
CameraInfo,package:exif/src/makernote_canon.dart,6,192,192,0,0,0,0,0,6,192,192,0
MethodChannelDocumentReference,package:cloud_firestore_platform_interface/src/method_channel/method_channel_document_reference.dart,6,192,192,0,6,192,192,0,0,0,0,0
DocumentReferenceRequest,package:cloud_firestore_platform_interface/src/pigeon/messages.pigeon.dart,6,192,192,0,6,192,192,0,0,0,0,0
PigeonDocumentSnapshot,package:cloud_firestore_platform_interface/src/pigeon/messages.pigeon.dart,6,192,192,0,6,192,192,0,0,0,0,0
PdfCompressionLevel,package:syncfusion_flutter_pdf/src/pdf/implementation/pdf_document/enums.dart,6,192,192,0,0,0,0,0,6,192,192,0
PermissionStatus,package:permission_handler_platform_interface/permission_handler_platform_interface.dart,6,192,192,0,0,0,0,0,6,192,192,0
FieldValueType,package:cloud_firestore_platform_interface/src/method_channel/method_channel_field_value.dart,6,192,192,0,0,0,0,0,6,192,192,0
AutoCategorizationResult,package:spendant/src/services/auto_categorization_service.dart,5,160,160,0,0,0,0,0,5,160,160,0
AuthResult,package:spendant/src/services/auth_service.dart,5,160,160,0,0,0,0,0,5,160,160,0
TextDecorationStyle,package:vector_graphics_compiler/src/paint.dart,5,160,160,0,0,0,0,0,5,160,160,0
ImageFormat,package:vector_graphics_compiler/src/image/image_info.dart,5,160,160,0,0,0,0,0,5,160,160,0
PdfEncryptionAlgorithm,package:syncfusion_flutter_pdf/src/pdf/implementation/security/enum.dart,5,160,160,0,0,0,0,0,5,160,160,0
_PngFilterTypes,package:syncfusion_flutter_pdf/src/pdf/implementation/graphics/images/decoders/png_decoder.dart,5,160,160,0,0,0,0,0,5,160,160,0
LineType,package:syncfusion_flutter_pdf/src/pdf/implementation/graphics/fonts/enums.dart,5,160,160,0,0,0,0,0,5,160,160,0
PdfFontFamily,package:syncfusion_flutter_pdf/src/pdf/implementation/graphics/fonts/enums.dart,5,160,160,0,0,0,0,0,5,160,160,0
MatrixTypes,package:syncfusion_flutter_pdf/src/pdf/implementation/exporting/pdf_text_extractor/matrix_helper.dart,5,160,160,0,0,0,0,0,5,160,160,0
_Type,package:syncfusion_flutter_pdf/src/pdf/implementation/compression/pdf_png_filter.dart,5,160,160,0,0,0,0,0,5,160,160,0
CalendarUserType,package:firstfloor_calendar/src/semantic/calendar_enums.dart,5,160,160,0,0,0,0,0,5,160,160,0
WeeklySmartInsight,package:spendant/src/services/weekly_smart_insight_service.dart,3,144,144,0,3,144,144,0,0,0,0,0
_ExpenseHeader,package:spendant/src/screens/new_expense_screen.dart,3,144,144,0,2,96,96,0,1,48,48,0
Vector3,package:vector_math/vector_math_64.dart,8,128,128,0,8,128,128,0,0,0,0,0
SqfliteDatabaseOpenHelper,package:sqflite_common/src/database.dart,4,128,128,0,0,0,0,0,4,128,128,0
_GooglePaySimulationTemplate,package:spendant/src/services/google_pay_expense_import_service.dart,4,128,128,0,0,0,0,0,4,128,128,0
CalendarAccessResult,package:spendant/src/services/calendar_availability_service.dart,4,128,128,0,0,0,0,0,4,128,128,0
UserModel,package:spendant/src/models/user_model.dart,2,128,128,0,0,0,0,0,2,128,128,0
FirebaseOptions,package:firebase_core_platform_interface/firebase_core_platform_interface.dart,2,128,128,0,0,0,0,0,2,128,128,0
PathCommandType,package:vector_graphics_compiler/src/geometry/path.dart,4,128,128,0,0,0,0,0,4,128,128,0
PdfPageRotateAngle,package:syncfusion_flutter_pdf/src/pdf/implementation/pages/enum.dart,4,128,128,0,0,0,0,0,4,128,128,0
_ErrorType,package:syncfusion_flutter_pdf/src/pdf/implementation/io/pdf_parser.dart,4,128,128,0,0,0,0,0,4,128,128,0
PdfColorSpace,package:syncfusion_flutter_pdf/src/pdf/implementation/graphics/enums.dart,4,128,128,0,0,0,0,0,4,128,128,0
PdfTextAlignment,package:syncfusion_flutter_pdf/src/pdf/implementation/graphics/enums.dart,4,128,128,0,0,0,0,0,4,128,128,0
SpendAntNavItem,package:spendant/src/widgets/spendant_bottom_nav.dart,4,128,128,0,0,0,0,0,4,128,128,0
SpendingAdviceKind,package:spendant/src/services/spending_advice_service.dart,4,128,128,0,0,0,0,0,4,128,128,0
GooglePayImportStatus,package:spendant/src/services/google_pay_expense_import_service.dart,4,128,128,0,0,0,0,0,4,128,128,0
LocationPermission,package:geolocator_platform_interface/src/enums/location_permission.dart,4,128,128,0,0,0,0,0,4,128,128,0
ParticipationRole,package:firstfloor_calendar/src/semantic/calendar_enums.dart,4,128,128,0,0,0,0,0,4,128,128,0
PigeonTransactionType,package:cloud_firestore_platform_interface/src/pigeon/messages.pigeon.dart,4,128,128,0,0,0,0,0,4,128,128,0
SvgAttributes,package:vector_graphics_compiler/src/svg/parser.dart,1,112,112,0,0,0,0,0,1,112,112,0
_CategorySuggestion,package:spendant/src/services/notification_expense_parser.dart,7,112,112,0,0,0,0,0,7,112,112,0
NoInternetBanner,package:spendant/src/widgets/no_internet_banner.dart,7,112,112,0,0,0,0,0,7,112,112,0
Rect,package:vector_graphics_compiler/src/geometry/basic_types.dart,2,96,96,0,0,0,0,0,2,96,96,0
SqlBuilder,package:sqflite_common/src/sql_builder.dart,6,96,96,0,6,96,96,0,0,0,0,0
PermissionsReviewFlow,package:spendant/src/services/permissions_review_service.dart,3,96,96,0,0,0,0,0,3,96,96,0
CloudSyncService,package:spendant/src/services/cloud_sync_service.dart,6,96,96,0,6,96,96,0,0,0,0,0
_RegisterIntroStep,package:spendant/src/screens/post_register_intro_screen.dart,3,96,96,0,0,0,0,0,3,96,96,0
_ValueIterator,package:hive/src/util/indexable_skip_list.dart,6,96,96,0,6,96,96,0,0,0,0,0
ChangeNotifier,package:hive/src/box/change_notifier.dart,6,96,96,0,0,0,0,0,6,96,96,0
FrameIoHelper,package:hive/src/io/frame_io_helper.dart,6,96,96,0,0,0,0,0,6,96,96,0
ReadWriteSync,package:hive/src/backend/vm/read_write_sync.dart,6,96,96,0,0,0,0,0,6,96,96,0
LocationSettings,package:geolocator_platform_interface/src/models/location_settings.dart,3,96,96,0,0,0,0,0,3,96,96,0
SpendAntBottomNav,package:spendant/src/widgets/spendant_bottom_nav.dart,3,96,96,0,0,0,0,0,3,96,96,0
_MiniActionButton,package:spendant/src/screens/new_expense_screen.dart,3,96,96,0,2,64,64,0,1,32,32,0
_AmountHeadline,package:spendant/src/screens/home_screen.dart,2,96,96,0,0,0,0,0,2,96,96,0
User,package:firebase_auth/firebase_auth.dart,6,96,96,0,6,96,96,0,0,0,0,0
DocumentSnapshotPlatform,package:cloud_firestore_platform_interface/src/platform_interface/platform_interface_document_snapshot.dart,6,96,96,0,6,96,96,0,0,0,0,0
_JsonDocumentSnapshot,package:cloud_firestore/cloud_firestore.dart,6,96,96,0,6,96,96,0,0,0,0,0
_JsonDocumentReference,package:cloud_firestore/cloud_firestore.dart,6,96,96,0,6,96,96,0,0,0,0,0
_ValueIterable,package:hive/src/util/indexable_skip_list.dart,6,96,96,0,6,96,96,0,0,0,0,0
TileMode,package:vector_graphics_compiler/src/paint.dart,3,96,96,0,0,0,0,0,3,96,96,0
StrokeJoin,package:vector_graphics_compiler/src/paint.dart,3,96,96,0,0,0,0,0,3,96,96,0
StrokeCap,package:vector_graphics_compiler/src/paint.dart,3,96,96,0,0,0,0,0,3,96,96,0
GradientUnitMode,package:vector_graphics_compiler/src/paint.dart,3,96,96,0,0,0,0,0,3,96,96,0
PdfEncryptionOptions,package:syncfusion_flutter_pdf/src/pdf/implementation/security/enum.dart,3,96,96,0,0,0,0,0,3,96,96,0
State,package:syncfusion_flutter_pdf/src/pdf/implementation/io/pdf_lexer.dart,3,96,96,0,0,0,0,0,3,96,96,0
PdfObjectType,package:syncfusion_flutter_pdf/src/pdf/implementation/io/enums.dart,3,96,96,0,0,0,0,0,3,96,96,0
PdfFontStyle,package:syncfusion_flutter_pdf/src/pdf/implementation/graphics/fonts/enums.dart,3,96,96,0,0,0,0,0,3,96,96,0
BlockType,package:syncfusion_flutter_pdf/src/pdf/implementation/compression/enums.dart,3,96,96,0,0,0,0,0,3,96,96,0
PermissionsIntroStep,package:spendant/src/services/post_auth_navigation.dart,3,96,96,0,0,0,0,0,3,96,96,0
_ReceiptSourceOption,package:spendant/src/screens/new_expense_screen.dart,3,96,96,0,0,0,0,0,3,96,96,0
LocationAccuracy,package:geolocator_platform_interface/src/enums/location_accuracy.dart,3,96,96,0,0,0,0,0,3,96,96,0
GroupAlertBehavior,package:flutter_local_notifications/src/platform_specifics/android/enums.dart,3,96,96,0,0,0,0,0,3,96,96,0
AggregateType,package:cloud_firestore_platform_interface/src/pigeon/messages.pigeon.dart,3,96,96,0,0,0,0,0,3,96,96,0
ServerTimestampBehavior,package:cloud_firestore_platform_interface/src/pigeon/messages.pigeon.dart,3,96,96,0,0,0,0,0,3,96,96,0
Source,package:cloud_firestore_platform_interface/src/pigeon/messages.pigeon.dart,3,96,96,0,0,0,0,0,3,96,96,0
